Idx,score
10005,0.034539
10013,0.050317
10020,0.189500
10033,0.188287
10035,0.038272
10038,0.140482
1004,0.288209
10042,0.169553
10043,0.133838
10046,0.117348
1005,0.191094
10051,0.068605
10053,0.052076
10056,0.114762
10058,0.162816
10060,0.119013
10066,0.057834
10071,0.162791
10076,0.124472
1008,0.146593
10083,0.258674
10092,0.060399
10093,0.023035
10094,0.088018
10098,0.056298
10099,0.024573
10103,0.018702
1011,0.088781
10121,0.122615
10126,0.222069
10127,0.033023
10131,0.131277
10136,0.035046
10142,0.025527
10143,0.037339
10144,0.103385
10150,0.036725
10154,0.064036
1016,0.046478
10161,0.062117
10162,0.039506
10168,0.026747
10170,0.049994
10177,0.053749
10179,0.118197
1018,0.160180
10180,0.071744
10184,0.080042
10186,0.227128
1019,0.060298
10191,0.127511
10194,0.102867
10197,0.090520
10199,0.036857
10200,0.117151
10207,0.211784
10219,0.023373
10222,0.034562
10224,0.034562
10231,0.167886
10237,0.093522
10239,0.037507
10242,0.058103
10245,0.054565
1025,0.238159
10250,0.171390
10260,0.050383
10262,0.055745
10265,0.040033
10267,0.098695
10281,0.051505
10282,0.071275
10285,0.065526
10286,0.042710
10289,0.200931
10298,0.141660
10301,0.084660
10309,0.105988
1031,0.036725
10317,0.110968
10322,0.043092
10326,0.039545
10333,0.036765
10337,0.228202
10339,0.128977
1034,0.087445
10343,0.065216
10345,0.069082
1035,0.212791
10351,0.155642
10355,0.027443
10357,0.069379
1036,0.108326
10364,0.081904
10367,0.110897
10381,0.074461
10383,0.035956
10385,0.033023
10387,0.046268
10396,0.064070
10398,0.070976
104,0.079732
10404,0.232301
10408,0.091407
10420,0.048010
1045,0.028217
10451,0.023687
10454,0.037061
10460,0.077938
10467,0.105869
10469,0.193148
10470,0.118966
10475,0.025451
10485,0.066826
10487,0.133889
1049,0.211784
10495,0.039998
10496,0.083572
10500,0.114363
10503,0.143200
10505,0.094502
10507,0.038163
10512,0.027443
10517,0.029821
10522,0.085177
10524,0.074299
10528,0.119498
10529,0.111773
10531,0.127969
10540,0.047148
10541,0.073111
10545,0.051424
10548,0.101739
1055,0.049161
10556,0.128343
10567,0.050699
10580,0.080773
10590,0.061906
10592,0.202963
10597,0.029821
1060,0.220837
10600,0.046399
10613,0.162791
10622,0.092806
10624,0.270286
10638,0.050334
10642,0.028145
10644,0.043171
10656,0.033709
1066,0.086761
10671,0.036206
10672,0.027384
10673,0.111079
10677,0.203688
10679,0.030075
1068,0.207638
10680,0.137548
10686,0.050998
10695,0.037507
1070,0.206470
10701,0.057780
10704,0.038227
10705,0.080588
1072,0.024969
10720,0.137734
10722,0.141708
10725,0.094415
10728,0.108682
10735,0.229349
10738,0.215335
1074,0.067710
10740,0.057425
10742,0.078534
10746,0.057819
10754,0.042249
10756,0.157306
10766,0.119765
10767,0.052382
10769,0.027665
10770,0.239127
10777,0.108500
10779,0.033731
10786,0.169553
10788,0.076977
10790,0.045151
10797,0.082050
10801,0.132796
10804,0.054580
10805,0.036398
10807,0.108279
10810,0.085629
10826,0.171390
10833,0.047671
10840,0.078859
1086,0.134427
10860,0.090512
10862,0.037427
10863,0.119441
10880,0.027443
10881,0.076196
10883,0.098707
10888,0.112147
10890,0.056985
10894,0.031727
10898,0.057940
10905,0.058038
10911,0.046399
10914,0.220837
10915,0.033764
10940,0.193088
10944,0.131277
10949,0.105316
10952,0.108133
10954,0.150845
10959,0.057844
10966,0.146705
10968,0.081631
10983,0.081790
10987,0.028647
10989,0.039953
10990,0.122086
10993,0.115985
10996,0.087688
11,0.176592
110,0.149286
11010,0.053949
11015,0.027758
11018,0.039874
1102,0.087164
11021,0.023893
11023,0.019234
11034,0.172351
11039,0.059842
11047,0.060851
11050,0.046399
11055,0.082140
11059,0.174126
11065,0.104228
11069,0.170288
11075,0.107746
11076,0.046084
11077,0.071915
11088,0.145612
11092,0.176592
11094,0.226621
11096,0.176592
11098,0.204667
11101,0.116448
11109,0.109995
11111,0.069047
11114,0.099082
11115,0.035345
11119,0.154023
11127,0.316617
1113,0.188287
11133,0.299897
11140,0.115487
11141,0.097184
11143,0.082833
11148,0.176592
11152,0.055264
11156,0.020806
11157,0.148896
11163,0.049328
11165,0.048985
11167,0.094516
11177,0.120177
1118,0.111773
11180,0.101625
11188,0.169553
11199,0.031031
112,0.126685
11201,0.136239
11203,0.023593
11205,0.027443
11206,0.091017
11210,0.198088
11218,0.053951
11225,0.037507
11227,0.166632
1124,0.058152
11248,0.078797
11249,0.033731
1125,0.091704
11251,0.095885
11253,0.089028
11259,0.058038
11261,0.070902
11264,0.048488
11266,0.021498
11270,0.039874
11275,0.035327
11276,0.107902
11278,0.058038
11282,0.049381
11283,0.153500
11288,0.142712
11297,0.165078
11298,0.112035
11310,0.035304
11311,0.132434
11313,0.128343
11316,0.043049
11318,0.096118
11320,0.034550
11326,0.029821
11327,0.118596
1133,0.203398
11332,0.040417
11334,0.046867
11337,0.054799
11339,0.038414
11340,0.085680
11341,0.060722
11352,0.211784
1136,0.067522
11362,0.036502
11363,0.138378
11370,0.221700
11375,0.096056
11378,0.091789
1138,0.061861
11382,0.088290
1139,0.107390
11390,0.037990
11399,0.048930
11403,0.155341
11404,0.117877
11407,0.064003
11409,0.099624
11418,0.064483
1142,0.196265
11420,0.093145
11424,0.037226
11433,0.027443
11438,0.046347
1144,0.048765
11442,0.049710
11443,0.023035
11445,0.107669
11447,0.078099
11448,0.046399
1145,0.113526
11453,0.021498
11466,0.077598
11469,0.079816
11478,0.088537
11485,0.137892
11489,0.125237
11491,0.074212
11495,0.158409
11502,0.072185
11506,0.112035
11510,0.020806
11511,0.024035
11517,0.081123
11518,0.064036
1152,0.082442
11520,0.069670
11523,0.115982
11529,0.186461
11533,0.095088
11538,0.043415
11540,0.208932
11552,0.019234
11554,0.039998
1156,0.143489
11560,0.026747
11571,0.036502
11575,0.124664
11579,0.062678
11580,0.089538
11583,0.046268
11586,0.164808
11591,0.034562
11592,0.065081
11596,0.061906
11597,0.061861
11598,0.086121
11600,0.095215
11603,0.167886
11606,0.073180
11615,0.074077
1162,0.265736
11623,0.028245
11625,0.066844
11627,0.038163
11632,0.027099
11639,0.093090
1164,0.057844
11646,0.029851
11652,0.039044
11658,0.065357
11666,0.094930
11676,0.076284
11681,0.088669
11687,0.073699
11696,0.074212
1170,0.092111
11709,0.027443
11710,0.055178
11713,0.124047
11715,0.027443
11721,0.217610
11728,0.067993
11729,0.059838
11736,0.133044
11739,0.147187
11744,0.145055
11746,0.088632
11753,0.063876
11755,0.082738
11757,0.121862
11759,0.088621
11766,0.130114
11767,0.101491
1177,0.080575
11772,0.131923
11774,0.106373
11776,0.180883
11779,0.116201
1178,0.157306
11787,0.038163
1179,0.108279
11790,0.145612
11791,0.101380
11792,0.082044
11796,0.036725
11798,0.072861
1180,0.220837
1181,0.089925
11814,0.182799
11817,0.115746
11821,0.027443
11822,0.043792
11826,0.118800
11828,0.077195
11831,0.031727
11832,0.056532
11836,0.096335
11839,0.141660
11842,0.138896
11851,0.091467
11860,0.044943
11864,0.060639
11868,0.021498
1187,0.176592
11871,0.033620
11878,0.067123
11881,0.047306
11888,0.080375
1189,0.238159
11899,0.018702
1190,0.046268
11902,0.080662
11903,0.029821
11906,0.117822
11912,0.118487
11923,0.076751
11924,0.032396
11926,0.079816
11927,0.045151
11933,0.090578
11939,0.034562
11940,0.065398
11945,0.101712
11947,0.053720
11949,0.145651
11955,0.068181
11957,0.049523
11958,0.098415
11959,0.071436
11964,0.230272
11967,0.048985
11969,0.082738
1197,0.166284
11974,0.072927
11978,0.204849
1198,0.105869
11980,0.110617
11981,0.215955
11991,0.173009
11993,0.071436
11998,0.021498
12002,0.095885
12005,0.072135
12009,0.104743
1201,0.052306
12010,0.062666
12013,0.030075
12019,0.035345
12024,0.035406
12027,0.052095
12030,0.049710
12038,0.180508
12039,0.053381
12042,0.059070
12047,0.061450
12050,0.104563
12057,0.227099
12058,0.227128
1206,0.122231
12060,0.049076
12067,0.215955
1207,0.107585
12070,0.093678
12072,0.127259
12078,0.028412
12079,0.027443
12084,0.051563
12092,0.227128
12095,0.126453
12097,0.042710
121,0.049854
12102,0.135784
12107,0.049561
12112,0.047261
12113,0.036086
12115,0.043294
12123,0.204667
12131,0.107211
12137,0.124268
12139,0.045004
12140,0.089925
12142,0.106734
12153,0.039111
12156,0.132434
12166,0.088290
12171,0.104124
12175,0.033731
12176,0.119441
12183,0.027470
12193,0.061685
12194,0.123089
12195,0.072485
12198,0.098415
12202,0.070976
12205,0.087445
12206,0.079968
12208,0.029821
12210,0.163938
12213,0.042639
12217,0.058059
12218,0.075910
1222,0.124357
12225,0.082819
12231,0.119423
12232,0.081904
12233,0.136242
12235,0.167886
12238,0.073753
1224,0.105869
12240,0.047783
12245,0.140694
12246,0.027443
12251,0.023593
12252,0.031573
12257,0.039633
12259,0.031818
12265,0.106754
12266,0.040461
12267,0.110617
12270,0.045875
12273,0.035345
12276,0.076090
12278,0.067262
12279,0.105701
12280,0.042883
12282,0.058103
12288,0.036798
12289,0.027099
12302,0.054618
12303,0.050334
12307,0.022622
12309,0.279733
1231,0.073631
12312,0.067262
12315,0.202483
12326,0.065787
12333,0.065816
12334,0.029448
12335,0.095215
12340,0.042924
12341,0.141016
12346,0.047806
12352,0.028508
12356,0.094059
12358,0.089381
12361,0.185075
1237,0.067588
12371,0.120494
12377,0.051438
12378,0.085759
1238,0.127060
12383,0.048294
12384,0.097756
12390,0.055946
12394,0.046268
1240,0.243504
12402,0.056515
1241,0.093066
12412,0.062578
12415,0.028217
12416,0.055538
12418,0.025646
12421,0.105869
12423,0.204667
12431,0.234606
12435,0.242984
12439,0.020339
1244,0.105869
12443,0.027443
12449,0.071321
12450,0.129510
12455,0.071436
12457,0.031818
12460,0.048163
12468,0.057519
1247,0.074209
12472,0.079919
12475,0.158057
12476,0.039953
12485,0.067262
12492,0.121904
12496,0.116869
12500,0.050653
12503,0.121189
12509,0.021498
12510,0.031038
12512,0.038163
12517,0.114165
12518,0.213171
1252,0.119074
12524,0.020339
12528,0.027443
12529,0.053720
12533,0.248490
12534,0.080957
12537,0.062175
1254,0.133044
12547,0.058615
12552,0.066096
12553,0.029392
12557,0.074665
12563,0.041064
12568,0.020339
12571,0.077798
12575,0.038377
12579,0.049561
1258,0.108631
12584,0.160676
12588,0.072874
12594,0.039348
126,0.061685
12602,0.153470
12609,0.190164
12616,0.107791
12622,0.152737
1263,0.176592
12635,0.035528
12636,0.079816
12640,0.052770
12643,0.031818
12648,0.046268
12650,0.039068
12651,0.124059
12658,0.123085
12659,0.068044
12662,0.243504
12664,0.050327
12682,0.046531
12685,0.034815
12686,0.023893
12690,0.106113
12694,0.040499
127,0.186168
12705,0.065787
12707,0.034366
12717,0.021498
12726,0.077303
12728,0.040681
12729,0.058103
12735,0.039484
12736,0.204413
12740,0.040596
12747,0.081485
12750,0.141660
12753,0.035371
12757,0.023373
12759,0.234606
12765,0.097524
12769,0.047564
12771,0.120209
12772,0.037296
12774,0.167367
12776,0.097524
12780,0.042414
12782,0.043049
12783,0.203688
12791,0.036554
12798,0.129857
128,0.163113
12811,0.035345
12816,0.118813
12818,0.062965
12820,0.081778
12823,0.093090
12824,0.065070
12826,0.034092
12827,0.106817
12828,0.131277
1283,0.042831
12836,0.119539
12837,0.046524
12840,0.316617
12845,0.147187
12846,0.048216
12856,0.018702
12858,0.066320
12859,0.040391
12860,0.046399
12861,0.167367
12868,0.062965
12869,0.097148
12881,0.042639
12882,0.025646
12883,0.018702
12885,0.248980
1289,0.316617
12893,0.036398
12898,0.099308
12899,0.220837
129,0.084963
12902,0.036398
12907,0.108873
12908,0.143489
12912,0.035406
12924,0.034366
12927,0.284174
12928,0.098876
12934,0.182981
12939,0.038009
1294,0.203688
12942,0.031774
12945,0.156621
12946,0.056170
12949,0.049395
1295,0.236701
12950,0.039324
12954,0.026232
12957,0.083336
12963,0.018702
1297,0.176592
12979,0.097756
12987,0.149212
12989,0.079780
12990,0.061061
13,0.107902
13002,0.139228
13009,0.177482
13010,0.137644
13015,0.054218
13016,0.050556
13021,0.031818
13029,0.023373
1303,0.125332
13031,0.047517
13035,0.151382
13044,0.080768
13058,0.156273
13059,0.036502
13065,0.075083
13069,0.042198
13077,0.203688
1308,0.072594
13096,0.073191
13097,0.093145
13099,0.105869
131,0.056454
13116,0.095620
13121,0.061272
13122,0.071448
13125,0.184439
13128,0.149969
13131,0.087237
13136,0.061861
13139,0.039655
13140,0.065715
13142,0.020736
13145,0.038414
13148,0.052139
1315,0.097834
13155,0.062272
13156,0.040461
13165,0.054565
1317,0.038392
13172,0.078128
13175,0.085191
13178,0.103620
13180,0.044106
13181,0.028292
13182,0.069959
13184,0.039998
13186,0.031782
13188,0.035983
13189,0.048419
13191,0.027443
13194,0.031818
13196,0.045517
13197,0.152084
13203,0.031782
13204,0.134097
13209,0.316617
13215,0.131314
1322,0.099722
13226,0.088576
13229,0.080221
13235,0.055884
13237,0.086299
1324,0.077727
13240,0.038163
13250,0.073366
13263,0.050350
13271,0.096040
13274,0.024969
13275,0.028217
13276,0.124229
13278,0.025613
13282,0.138841
13285,0.041548
13289,0.095885
1329,0.037337
13296,0.191094
13300,0.058094
13301,0.141660
13312,0.252680
13313,0.041499
13315,0.091067
